,Paper,Subject,Subj_notes,MonoMix,Dom.species,TropTemp,Month.corr,Time,Plot.time,Plot.time.err,Method,AGbiomass,AGbiomass.units,AGbiomass_notes,Resp_facet,time.unit,model,O2.mmol,Temp.C,Time2,AGbiomass2,Temp2,Response
1,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,Apr,4,4,0,Incubator,18.254,g DW m-2,NA,GPP_hour,hour,N,2.98314,23.247,16,333.208516,540.423009,GPP
2,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,May,5,5,0,Incubator,8.906,g DW m-2,NA,GPP_hour,hour,N,5.634876,26.32,25,79.316836,692.7424,GPP
3,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,Jun,6,6,0,Incubator,10.223,g DW m-2,NA,GPP_hour,hour,N,3.500879,30.017,36,104.509729,901.020289,GPP
4,Anton et al. 2009,A,same site over time,mix,Halodule wrightii,tropical,Aug,8,8,0,Incubator,11.575,g DW m-2,NA,GPP_hour,hour,N,9.175118,30.258,64,133.980625,915.546564,GPP
5,Anton et al. 2020,A,NA,mono,Halodule uninervis,tropical,Mar,3,3,0,Incubator,7,g DW m-2,NA,GPP_day,day,N,74.3,26.6,9,49,707.56,GPP
6,Anton et al. 2020,B,NA,mono,Thalassia hemprichii,tropical,Mar,3,3,0,Incubator,55,g DW m-2,NA,GPP_day,day,N,91.6,26.6,9,3025,707.56,GPP
7,Anton et al. 2020,A,NA,mono,Halodule uninervis,tropical,Jul,7,7,0,Incubator,15,g DW m-2,NA,GPP_day,day,N,198.3,31.1,49,225,967.21,GPP
8,Anton et al. 2020,B,NA,mono,Thalassia hemprichii,tropical,Jul,7,7,0,Incubator,31,g DW m-2,NA,GPP_day,day,N,156.2,31.1,49,961,967.21,GPP
9,Anton et al. 2020,C,NA,mono,Halodule stipulacea,tropical,Jul,7,7,0,Incubator,14,g DW m-2,NA,GPP_day,day,N,114.9,30.8,49,196,948.64,GPP
10,Anton et al. 2020,D,NA,mono,Thalassodendrum ciliatum,tropical,Jul,7,7,0,Incubator,64,g DW m-2,NA,GPP_day,day,N,116.9,30.8,49,4096,948.64,GPP
11,Anton et al. 2020,E,NA,mono,Thalassodendrum ciliatum,tropical,Jul,7,7,0,Incubator,63,g DW m-2,NA,GPP_day,day,N,201.2,30.27,49,3969,916.2729,GPP
12,Anton et al. 2020,F,NA,mono,Halodule uninervis,tropical,Jul,7,7,0,Incubator,11,g DW m-2,NA,GPP_day,day,N,130.6,29.93,49,121,895.8049,GPP
13,Anton et al. 2020,G,NA,mono,Halophila stipulacea,tropical,Jul,7,7,0,Incubator,32,g DW m-2,NA,GPP_day,day,N,268.7,29.93,49,1024,895.8049,GPP
14,Anton et al. 2020,H,NA,mono,Thalassia hemprichii,tropical,Jul,7,7,0,Incubator,51,g DW m-2,NA,GPP_day,day,N,146.8,29.93,49,2601,895.8049,GPP
15,Anton et al. 2020,J,NA,mono,Halophila stipulacea,tropical,Jan,1,1,0,Incubator,5,g DW m-2,NA,GPP_day,day,N,42.4,23.8,1,25,566.44,GPP
16,Anton et al. 2020,K,NA,mono,Halodule uninervis,tropical,Jul,7,7,0,Incubator,7,g DW m-2,NA,GPP_day,day,N,239.4,31.5,49,49,992.25,GPP
17,Anton et al. 2020,L,NA,mono,Thalassia hemprichii,tropical,Jul,7,7,0,Incubator,13,g DW m-2,NA,GPP_day,day,N,104.7,31.5,49,169,992.25,GPP
18,Anton et al. 2020,M,NA,mono,Halophila stipulacea,tropical,Mar,3,3,0,Incubator,14,g DW m-2,NA,GPP_day,day,N,122.2,25,9,196,625,GPP
19,Anton et al. 2020,N,NA,mono,Halophila ovalis,tropical,Mar,3,3,0,Incubator,3,g DW m-2,NA,GPP_day,day,N,66.5,25,9,9,625,GPP
20,Anton et al. 2020,M,NA,mono,Halophila stipulacea,tropical,Aug,8,8,0,Incubator,4,g DW m-2,NA,GPP_day,day,N,101.7,32.3,64,16,1043.29,GPP
21,Anton et al. 2020,N,NA,mono,Halophila ovalis,tropical,Aug,8,8,0,Incubator,4,g DW m-2,NA,GPP_day,day,N,121.1,32.3,64,16,1043.29,GPP
22,Anton et al. 2020,O,NA,mono,Halodule uninervis,tropical,Mar,3,3,0,Incubator,8,g DW m-2,NA,GPP_day,day,N,65.9,27.5,9,64,756.25,GPP
23,Anton et al. 2020,P,NA,mono,Halophila ovalis,tropical,Mar,3,3,0,Incubator,3,g DW m-2,NA,GPP_day,day,N,63.6,27.5,9,9,756.25,GPP
24,Anton et al. 2020,Q,NA,mono,Thalassia hemprichii,tropical,Mar,3,3,0,Incubator,28,g DW m-2,NA,GPP_day,day,N,77.1,27.5,9,784,756.25,GPP
25,Anton et al. 2020,O,NA,mono,Halodule uninervis,tropical,Aug,8,8,0,Incubator,26,g DW m-2,NA,GPP_day,day,N,146.7,31,64,676,961,GPP
26,Anton et al. 2020,R,NA,mono,Halophila stipulacea,tropical,Aug,8,8,0,Incubator,19,g DW m-2,NA,GPP_day,day,N,149.2,31,64,361,961,GPP
27,Anton et al. 2020,P,NA,mono,Halophila ovalis,tropical,Aug,8,8,0,Incubator,4,g DW m-2,NA,GPP_day,day,N,114,31,64,16,961,GPP
28,Anton et al. 2020,Q,NA,mono,Thalassia hemprichii,tropical,Aug,8,8,0,Incubator,28,g DW m-2,NA,GPP_day,day,N,123,31,64,784,961,GPP
